contract_id,summary,termination_clause,confidentiality_clause,liability_clause
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement,"This TRADEMARK LICENSE AGREEMENT (""Agreement"") between Hertz Investment Group LLC and Hertz Group Realty Trust Inc. outlines a licensing arrangement for the use of a trademark in connection with real estate investments. The key points include:

- Licensor (Hertz Investment Group) grants a non-exclusive, royalty-free license to Licensee (Hertz Group Realty Trust Inc.) to use the ""H"" mark as part of their corporate name and identifying mark.
- The agreement is for a term that begins on September 1st, 2019.
- Licensor retains ownership of all rights in the trademark, but Licensee can use it subject to the terms set forth in the agreement.
- No other party has any right or interest in the trademark beyond what is explicitly stated in this agreement.

The risks include potential legal challenges if there are issues with trademark infringement or dilution.",Not found,Not found,"4.1 Licensed Users shall indemnify, hold harmless and defend Licensor, its affiliates, successors and assigns, and its and their directors, officers, employees and agents, against any claim, demand, cause of action, debt, expense or liability (including attorneys' fees and costs), to the extent that the foregoing (a) is based on a claim resulting solely from any service provided or offered by Licensed Users, (b) results from a material breach, or is based on a claim that, if true, would be a material breach, of this Agreement by Licensed Users, or (c) is based upon Licensed Users' unauthorized or improper use of the Licensed Mark."
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,"This contract outlines the terms and conditions for a franchise agreement, including the grant of rights to operate under a brand name, fees for initial and renewal franchises, obligations regarding trademarks and location selection, development of units, and payment arrangements. Key risks include potential disputes over trademark usage and liability limits on the franchisor's responsibility. The franchisee must pay upfront fees, deferrable payments, royalties, advertising fund contributions, and renewals, with late fees and interest applicable. Risks also involve compliance with corporate name restrictions and termination rights for either party.",Not found,Not found,"Pretzel Time shall not be liable to Franchisee, the contractor, or any other person, and Franchisee waives all claims for liability or damages of any type whatsoever (whether direct, indirect, incidental, consequential, or exemplary), on account of the rendition of any services by Pretzel Time in accordance with this Section, except to the extent caused by the gross negligence or intentional misconduct of Pretzel Time, and then any such liability or damages shall be limited to five thousand dollars ($5,000.00)."
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT,"This Strategic Alliance Agreement between Yaskawa Electric Corporation (YEC) and Argo Medical Technologies Ltd. aims to leverage their complementary strengths in robotics and electrical engineering for healthcare equipment development. Key obligations include marketing ARGO's products by YEC, commercializing future YEC products, improving ARGO's products through collaboration on motion control and robotics expertise, enhancing product quality, and defining roles in joint research and development. Notable risks involve market competition, technological challenges, and the need to manage expectations effectively between two companies with different business models.","Either party may terminate this Agreement by giving written notice of termination to the other party, which termination will be effective immediately upon such notice, if the other party defaults in the performance of any of its material obligations provided for in this Agreement and fails to cure such default within sixty (60) days after receipt of notice from the other party of such default, unless a plan for remedying such default has been proposed by the defaulting party and accepted by the non-defaulting party within such period.","On or prior to the execution of this Agreement, both parties shall sign a new Confidentiality and Non-Disclosure Agreement (hereinafter the ""New NDA"") and both parties shall comply with any terms and conditions stipulated in the New NDA with respect to handling of any confidential information disclosed by the other party hereunder.",Not found
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement,"This contract is an anatomical line drawings licensing agreement between Emdeon Corporation and WebMD, Inc., covering the distribution of software products. The essential obligations include delivering specified Content in a mutually agreed format without additional charges for updates. Notable risks involve adhering to terms and conditions, potential costs from reformatting or integrating content into software, and WebMD's editorial oversight over the material.","(b) Termination.

In addition to expiration of this Agreement as set forth in Section 3(a) hereof in the event either party fails to perform any of its material obligations hereunder, the other party may terminate this Agreement at [truncated]","(c) Requirements.
During the term of this Agreement and for so long as such information remains a trade secret under applicable law, neither party will, except as otherwise expressly directed by the other party, use, copy, or disclose, or permit any unauthorized person access to, any of the other party's Trade Secrets, except as expressly permitted herein and necessary for accomplishment of activities required hereby.

During the term of this Agreement and for a period of two (2) years after termination hereof, neither party will use, copy, or disclose, or permit any unauthorized person access to, any of the other party's Confidential Information, except as expressly directed by such party or as permitted herein.

The receiving party agrees to take reasonable precautions (no less rigorous than the receiving party takes with respect to its own comparable Confidential Information and Trade Secrets) to prevent unauthorized or inadvertent disclosure of the Confidential Information and Trade Secrets of the disclosing party.","WEBMD'S AGGREGATE LIABILITY FOR ALL DAMAGES, LOSSES AND CAUSES OF ACTION IN ANY WAY RELATED TO THIS AGREEMENT OR THE CONTENT, WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, HOWEVER ARISING, UNDER ANY THEORY OF LIABILITY, INCLUDING JOINTLY OR SEVERALLY, SHALL NOT EXCEED FIFTY DOLLARS ($50)."
"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","This Strategic Alliance Agreement between PPD Development LP and VirtualScopics Inc. outlines a two-year partnership for comprehensive clinical and medical imaging services, focusing on enhancing pharmaceutical development through faster decision-making. The agreement includes renewal terms and specific pricing structures for preferred services. Key obligations include providing high-quality imaging solutions that streamline drug development processes. Risks involve potential changes in service offerings or pricing without prior notice, affecting ongoing work orders.","In the event Sponsor, with or without cause, terminates, or requests that PPD terminate, VS's involvement in a project, PPD shall have the right to immediately terminate the Work Order to which such project relates. Additionally, in the event the services requested of PPD by Sponsor are cancelled or put on hold or the services agreement between PPD and Sponsor is terminated, PPD may terminate any relevant Work Order immediately upon notice to VS.",Not found,Not found
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT,"This agreement between Enterprise Transportation Company and Enterprise Products Operating L.P. specifies the terms for transporting chemicals or petroleum products across state lines, internationally, or within a single state. The shipper must deliver commodities to the carrier annually for shipments weighing at least ten thousand pounds, with compensation calculated according to the Schedule and Carrier's Contract Carriage Rules and Regulations. This agreement is valid from June 1, 1998, and automatically renews upon written notice of less than thirty days.",Not found,Not found,Not found
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT","This Reseller Agreement between PivX Corporation and Detto Technologies stipulates a non-exclusive license for distributing Qwik-Fix Pro across North America and internationally. Key responsibilities include granting exclusive rights to third parties, ensuring compliance with the current Enterprise License Agreement, and maintaining proper documentation. Risks encompass potential restrictions on reverse engineering and adherence to trademark usage guidelines.",Not found,Not found,"In the event of termination in accordance with Section 5.1, PivX shall not be liable to Detto because of such termination for compensation, reimbursement or damages on account of the loss of prospective profits or anticipated sales or on account of expenditures, inventory, investments, leases or commitments in connection with the business or goodwill of Detto."
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,"This Consulting Agreement outlines a non-exclusive agreement between Global Technologies, Ltd. (Company) and Timothy Cabrera (Consultant), where Consultant will provide various services to the Company as outlined in Section 3 of the contract. The key obligations include providing further development of the business plan for subsidiaries, seeking acquisition of potential products, negotiating acquisition or merger consideration, setting up meetings with acquisition candidates, and assisting with day-to-day tasks. The agreement is effective from January 2, 2020, for one year unless terminated by either party in bankruptcy, insolvency, or assignment for the benefit of creditors.","The Company shall be truthful with Consultant in regard to any relevant material regarding the Company, verbally or otherwise, or this entire Agreement will terminate and all consideration paid shall be forfeited without further notice.",Consultant will not disclose Confidential Information to any third party without prior written consent from the Company.,Not found
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF,"The contract establishes a limited power of attorney between Federated Investment Management Company and Federated Advisory Services Company. The Adviser appoints FASC to act as an agent on their behalf concerning certain agreements, contracts, and documents related to managing funds under the Adviser's supervision. This enables the execution of necessary actions without adding additional duties or liabilities beyond those stipulated in the Investment Advisory Contract.","Nothing herein shall be construed as imposing a duty on
FASC to act or assume responsibility for any matters referred to above or other matters even though FASC may have power or authority hereunder to do so.

Nothing in this Limited Power of Attorney shall be construed (i) to be an amendment or modifications of,
or supplement to, the Investment Advisory Contract, (ii) to amend, modify, limit or denigrate any duties, obligations or liabilities of the
Adviser under the terms of the Investment Advisory Contract or (iii) exonerate, relieve or release the Adviser from any losses,
obligations, penalties, actions, judgments and suits and other costs, expenses and disbursements of any kind or nature whatsoever which may be imposed on, incurred by or asserted against the Adviser (x) under the terms of the Investment Advisory Contract or (y)
at law, or in equity, for the performance of its duties as the investment adviser or subadviser of any of the Funds.

The Adviser hereby agrees to indemnify and save harmless FASC and its trustees, officers and employees (each of the foregoing an ""Indemnified Party"" and collectively the ""Indemnified Parties"") against and from any and all losses, obligations, penalties,
actions, judgments and suits and other costs, expenses and disbursements of any kind or nature whatsoever which may be imposed on, incurred by or asserted against an Indemnified Party, other than as a consequence of gross negligence or willful misconduct on the
part of an Indemnified Party, arising out of or in connection with this Limited Power of Attorney or any other agreement, instrument or document executed in connection with the exercise of the authority granted to FASC herein to act on behalf of the Adviser,
including without limitation the reasonable costs, expenses and disbursements in connection with defending such Indemnified Party against any claim or liability related to the exercise or performance of any of FASC's powers or duties under this Limited Power of
Attorney or any of the other agreements, instruments or documents executed in connection with the exercise of the authority granted to FASC herein to act on behalf of the Adviser, or the taking of any action under or in connection with any of the foregoing.

The obligations of the Adviser under this paragraph shall survive the termination of this Limited Power of Attorney with respect to actions taken by FASC on behalf of the Adviser during the term of this Limited Power of Attorney.",Not found,"The Adviser hereby agrees to indemnify and save harmless FASC and its trustees, officers and employees (each of the foregoing an"
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New,"This contract is between Peregrine/Bridge Transfer Corporation (Licensor) and Neon Systems, Inc. (Licensee). It outlines terms for distributing software products licensed from the Licensor. Key points include:
- The Licensee will market and sublicense the Licensed Products to customers.
- Documentation includes all materials used by Customers with the Products.
- An Emergency Fix is a temporary solution provided by the Licensor.
The contract covers pricing, payment, order details, warranties, covenants, indemnification, audits, limited warranties, liability, term, and termination. It also specifies that neither party may compete or disclose confidential information after termination.","If Licensor fails to deliver notice of termination pursuant to this subsection 14.2(b)(1) within six (6) months after the end of the term to which such termination relates, Licensor will be deemed to have waived such termination right in respect of such term (but not in respect of subsequent terms); or
(2) Upon thirty (30) days prior written notice if Licensee enters into an agreement or other arrangement relating to the merger of Licensee with another entity, the acquisition of the majority of Licensee's issued and outstanding capital stock or the acquisition of substantially all of the assets of Licensee.",Not found,Not found
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT","This contract is a service agreement between Theravance Biopharma UK Limited and Brett Haumann. The key obligations involve maintaining confidentiality, refraining from disclosing confidential information, and the right to terminate under specified circumstances. Risks include breaches of confidentiality, potential legal disputes, and the ability for either party to terminate the agreement.",The rights of the Company under clause 18.1 are without prejudice to any other rights that it might have at law to terminate the Executive's employment or to accept any breach of this Agreement by the Executive as having brought the Agreement to an end.,"Without prejudice to the Executive's common law and fiduciary duties, the Executive shall not during employment or at any time after Termination and whether for their own benefit
or for the benefit of any third party:
15.1.1 use any Confidential Information; or
15.1.2 disclose any Confidential Information to any person, company or other organisation whatsoever,
except in the proper course of their duties, as required by law or as authorised by the Company in writing.",Not found
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,"This Co-Branding Agreement between VerticalNet and PaperExchange aims to establish a collaborative venture, creating a career center and equipment listings website co-branded with Pulp and Paper Online. It outlines essential terms such as affiliate relationships, revenue from the career center, equipment listings, shared URLs for marketing purposes, and confidentiality of proprietary information. The agreement also specifies that both parties must maintain exclusive promotion URLs to enhance their online presence beneficially for both companies.",Not found,"Confidential Information shall mean all proprietary and confidential information of a party, including, without limitation, trade secrets, technical information, business information, sales information, customer and potential customer lists and identities, product sales plans, sublicense agreements, inventions, developments, discoveries, software, know-how, methods, techniques, formulae, data, processes and other trade secrets and proprietary ideas, whether or not protectable under patent, trademark, copyright or other areas of law, that the other party has access to or receives, but does not include information that (a) is or becomes publicly available through no fault of receiving party; (b) was already known to the receiving party at the time it was disclosed to the receiving party, as evidenced by written records of the receiving party; (c) is independently developed by employees of the receiving party who had no knowledge of or access to such information, as evidenced by written records of the receiving party; or (d) is received from a third party who is under no obligation of confidentiality to the disclosing party.","EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 10, THE INDEMNIFICATION OBLIGATIONS OF PAPEREXCHANGE UNDER SECTION 12.4(c) [Indemnification by PaperExchange] AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 12.5(c) [Indemnification by VerticalNet], EACH PARTY'S LIABILITY FOR DAMAGES HEREUNDER SHALL NOT EXCEED $1,000,000."
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,"This contract is an intellectual property agreement between Nuance Communications, Inc., and Cerence Inc. It details the assignment of patents, trademarks, domain names, and other intellectual property rights from Nuance to Cerence. Key obligations include recording intellectual property assignments, ensuring no implied rights are granted, and transferring ownership as part of a corporate restructuring. Risks involve potential legal disputes over ownership and use of intellectual property, especially in light of the impending spin-off.","This Agreement may be terminated by Nuance at any time, in its sole discretion, prior to the Distribution; provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms.",Not found,"Without limiting the terms set forth in Section 6.09 of the Separation Agreement, none of Nuance, SpinCo or any other member of either Group shall in any event have any Liability to the other or to any other member of the other's Group under this Agreement for any indirect, special, punitive or consequential damages, whether or not caused by or resulting from negligence or breach of obligations hereunder and whether or not informed of the possibility of the existence of such damages."
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1,"This manufacturing agreement between Stremicks Heritage Foods LLC and Premier Nutrition Corporation specifies the terms for producing food products on a contract basis. Key provisions include the commencement date, termination date, product descriptions, records, ingredients/materials/packaging, pricing, quality expectations, and post-holding quality standards. The production will take place at either Heritage's or Jasper's facilities in [***], subject to Premier's approval.","In the event that either Party shall be totally or partially unable to fulfill one or more of its obligations hereunder as a result of acts or occurrences beyond the control of the Party affected, such as, but not limited to, actions, omissions or impositions by local, state or federal governmental authorities, fire, flood, earthquake or other natural disasters, acts of God, revolution, strikes or fuel shortages, the Party so affected shall be totally or partially relieved from fulfilling its obligations under this Agreement during the period of such force majeure; provided, however, that the affected Party shall notify the other Party of the circumstances as soon as reasonably possible; and further provided that if such period of force majeure shall continue for a period of [***] or more, the Party not affected shall be entitled to terminate this Agreement by giving notice to take effect immediately.",Not found,"Heritage shall indemnify, defend and hold Premier harmless from and against any Losses arising out of or relating to (i) Heritage's or Jasper's negligence or willful misconduct, (ii) the manufacturing, packaging, storing and consumption of the Products (except to the extent resulting from Heritage's compliance with Premier's Specifications), (iii) any breach of the Agreement by Heritage or (iv) ingredients or packaging materials purchased by Heritage or Jasper."
